"","x"
"1963-01-01",NA
"1964-01-01",392.3
"1965-01-01",615.4
"1966-01-01",353.1
"1967-01-01",490.4
"1968-01-01",486.8
"1969-01-01",347.4
"1970-01-01",507.5
"1971-01-01",402.1
"1972-01-01",558.1
"1973-01-01",563.5
"1974-01-01",629.8
"1975-01-01",597.1
"1976-01-01",405.2
"1977-01-01",647.6
"1978-01-01",689.7
"1979-01-01",616.5
"1980-01-01",459.1
"1981-01-01",733.6
"1982-01-01",571.8
"1983-01-01",353.9
"1984-01-01",1048.8
"1985-01-01",1303.7
"1986-01-01",1098.5
"1987-01-01",659.1
"1988-01-01",662.7
"1989-01-01",465.2
"1990-01-01",717.4
"1991-01-01",642.3
"1992-01-01",542.3
"1993-01-01",NA
"1994-01-01",620.2
"1995-01-01",653.1
"1996-01-01",432.1
"1997-01-01",710.9
"1998-01-01",406.2
"1999-01-01",544.6
"2000-01-01",459.7
"2001-01-01",546.2
"2002-01-01",571.7
"2003-01-01",590
"2004-01-01",593.6
"2005-01-01",597.6
"2006-01-01",NA
"2007-01-01",534.9
"2008-01-01",456.8
"2009-01-01",460.6
"2010-01-01",527
"2011-01-01",566.4
"2012-01-01",549
"2013-01-01",NA
"2014-01-01",581.8
"2015-01-01",NA
"2016-01-01",NA
"2017-01-01",552.5
"2018-01-01",NA
